Date,Atlanta,Boston,Chicago,Cleveland,Dallas,Kansas,Minneapolis,New York,Philadelphia,Richmond,St. Louis,Total,San Francisco
2007-09-20,84876,35236,72398,35193,35260,28828,16102,319406,39273,82295,27317,872469,96286
2007-09-27,84869,35578,72773,35444,35464,29047,17462,336179,39674,83835,27279,894462,96859
2007-08-02,86582,35731,72609,34480,35684,28983,16273,319269,39941,80073,27624,874893,97644
2007-08-09,86334,35266,71970,34238,35367,28936,16272,316879,39845,80365,27511,870150,97168
2007-08-16,85925,35263,72193,33905,35126,28973,16225,316840,39943,81575,27498,869694,96227
2007-08-23,85916,35121,71906,34085,35576,28924,16035,316264,39658,80936,27182,867486,95884
2007-08-30,86079,35222,72082,35274,35522,28903,16046,321671,39713,82223,27336,877487,97416
2007-07-05,87549,36644,74252,34476,38106,29588,16904,314556,41165,81496,27923,882396,99738
2007-07-12,87145,36183,74218,34417,37699,29506,16967,312816,40891,79757,27742,876852,99510
2007-07-19,87020,36116,73375,33956,36560,29147,17074,317121,40317,80639,27672,877757,98761
2007-07-26,86448,35777,72526,34190,36106,28829,16284,314535,39633,79217,27566,868490,97379
2007-06-07,85947,36963,73441,32969,39633,29517,17047,315972,39506,80283,27869,877657,98511
2007-06-14,85951,36719,73115,33132,38954,29447,16846,309901,39710,80601,27684,869640,97580
2007-06-21,86048,36447,72996,33253,38859,29067,16986,312224,39704,78723,27576,870868,98986
2007-06-28,86893,36279,73609,33261,37886,29101,16551,312106,39801,78961,27597,869718,97674
2007-05-03,87161,37738,74335,32807,40304,29752,16921,329571,38636,81533,28111,896130,99260
2007-05-10,86738,37758,73709,33250,39926,29493,17066,316495,39552,79582,27960,879941,98412
2007-05-17,86255,37227,72652,31974,39450,29301,16710,307273,38829,79037,27882,864146,97557
2007-05-24,87277,37488,73228,32947,39834,29566,17494,315737,39117,80254,27816,878670,97911
2007-05-31,87162,38054,74886,33578,39963,29714,17043,313093,39853,81714,28028,881949,98859
2007-04-05,86862,37721,74056,33369,40413,29299,16993,306978,38387,76596,28070,867072,98328
2007-04-12,86981,37982,74728,33647,39856,29346,16838,307424,38189,78769,27870,870358,98729
2007-04-19,86935,37457,73576,32611,39266,29621,16895,307009,38289,78290,27855,866140,98336
2007-04-26,86781,37743,73236,33159,39759,29799,16851,323371,38479,79043,27926,884231,98084
2007-03-01,86414,38832,74732,34411,40941,29285,17937,317904,37728,76744,27998,882062,99137
2007-03-08,86138,38381,74253,33961,40647,29189,17110,309221,37678,77007,28011,869556,97960
2007-03-15,86953,38461,74829,34548,40625,29307,17049,317184,37917,77361,28055,880746,98457
2007-03-22,87705,37920,73861,33216,40607,29187,16884,308508,37720,75300,27954,867640,98779
2007-03-29,87736,38351,74123,33535,40638,29345,17161,311555,37948,77470,27954,874534,98718
2007-02-01,81705,39067,74393,34043,39880,28840,18036,315294,36877,77540,27971,870388,96742
2007-02-08,81654,38757,73946,33792,40027,28920,16755,303577,37210,76144,32111,859761,96867
2007-02-15,83353,39124,74916,35328,40552,28950,17129,311839,37929,77261,28256,871857,97220
2007-02-22,84956,38835,74406,34163,40973,29197,16971,311384,38487,78336,28318,874642,98617
2007-01-04,81391,39679,72834,34878,40822,29552,17440,319636,37785,76831,28243,879784,100692
2007-01-11,79529,39006,72378,33862,39848,28958,16685,310316,37064,76289,27925,859955,98093
2007-01-18,80174,39054,73010,34387,40433,29200,16891,312719,37313,76111,27862,864657,97502
2007-01-25,79942,38723,73225,33712,39589,28665,16624,309349,36669,75471,27769,856386,96647
2006-12-07,78371,39009,70383,34692,39061,27612,16857,323225,37580,77624,26270,867977,97294
2006-12-14,78777,39342,70673,33938,39039,29006,16753,314115,37484,75838,26869,859487,97653
2006-12-21,81014,39484,71759,34669,40242,29223,16918,316309,37696,77058,27844,870897,98682
2006-12-28,82238,39733,72762,34931,40979,29586,16983,313560,37839,77588,28295,875068,100575
2006-11-02,77041,37648,68985,35038,34666,26901,17259,326391,37588,78652,25690,861204,95344
2006-11-09,78445,38142,68980,35110,36035,26808,17008,327960,37605,76904,25773,864043,95274
2006-11-16,77478,38279,69607,35090,36709,26941,17157,321166,37542,79353,25867,860571,95383
2006-11-24,78495,38701,70383,35227,37714,26970,17250,326719,37635,78553,25837,870287,96802
2006-11-30,78825,38678,70070,34739,38475,26833,16939,319329,37444,77327,25867,861479,96954
2006-10-05,77218,37202,66107,35946,34133,25870,16464,324883,36954,75077,25051,847862,92955
2006-10-12,77790,38142,67150,36352,34573,26489,16731,331256,37735,78738,25322,865348,95070
2006-10-19,76853,37481,67017,35847,34210,26715,16545,322835,37178,75442,25247,849416,94045
2006-10-26,76804,37350,67558,36214,34391,26743,16592,324905,37327,80239,25269,857653,94263
2006-09-07,76345,37936,65802,36765,35434,25716,16847,325670,37779,78446,25424,855439,93275
2006-09-14,76158,37655,65084,36061,34398,25612,16630,324593,37929,75296,25247,846008,91345
2006-09-21,76265,37466,64619,35671,33855,25508,16546,324836,37167,74315,25209,843355,91899
2006-09-28,77351,37279,65593,36975,34117,25743,16834,330279,38076,74451,25176,855036,93162
2006-08-03,73315,38033,66388,37214,35699,26127,16875,332019,38153,72237,25260,855334,94012
2006-08-10,73461,37938,65971,35879,35383,25836,16866,324220,37317,73641,25141,844748,93095
2006-08-17,73796,37967,65578,35861,34981,25736,16685,329749,37589,72771,25081,847813,92018
2006-08-24,74187,37554,64769,35971,34866,25526,16607,325310,37238,74390,24942,842807,91444
2006-08-31,76715,37882,65124,36558,34865,25502,16765,333899,37943,73700,25020,856180,92208
2006-07-06,72648,38925,67754,36485,34715,26104,17111,327771,37866,75550,25632,856572,96012
2006-07-13,72079,38084,67177,35651,34715,26033,16925,327235,37483,73649,25546,848853,94277
2006-07-20,72103,38729,67230,36065,34443,25963,16792,332284,37622,74396,25402,854548,93520
2006-07-27,72834,38693,66377,35762,35057,25993,16686,325399,37042,73564,25283,846061,93370
2006-06-01,71768,37622,68567,36452,35024,26220,17030,327699,38186,75574,25619,856858,97097
2006-06-08,71428,37657,67489,37163,34377,26109,17070,329543,37634,74902,25520,853627,94737
2006-06-15,71838,37687,68387,35745,34122,26078,16944,328626,37831,74236,25483,850453,93476
2006-06-22,72015,37525,67241,35994,34314,25744,16823,327666,37561,75621,25328,849384,93550
2006-06-29,72228,37938,67391,35965,34751,25783,16930,325297,37628,74689,25560,849141,94982
